name,type,description,missing_pct,pointbiserial_r,source
apache_4a_hospital_death_prob,float64,Raw clinical measurement recorded on ICU day 1,8.67,0.3003,raw
shock_index,float64,HR_max / SBP_min: validated haemodynamic instability index (threshold SI > 1.0),0.0,0.2795,derived
apache_4a_icu_death_prob,float64,Raw clinical measurement recorded on ICU day 1,8.67,0.274,raw
gcs_motor_apache,float64,Raw clinical measurement recorded on ICU day 1,2.07,-0.2737,raw
gcs_eyes_apache,float64,Raw clinical measurement recorded on ICU day 1,2.07,-0.2507,raw
gcs_verbal_apache,float64,Raw clinical measurement recorded on ICU day 1,2.07,-0.2311,raw
ventilated_apache,float64,Raw clinical measurement recorded on ICU day 1,0.78,0.2264,raw
d1_spo2_min,float64,Raw clinical measurement recorded on ICU day 1,0.0,-0.2093,raw
d1_sysbp_noninvasive_min,float64,Raw clinical measurement recorded on ICU day 1,1.12,-0.2085,raw
d1_temp_min,float64,Raw clinical measurement recorded on ICU day 1,0.0,-0.2024,raw
spo2_hr_ratio,float64,SpO2_min / HR_max: oxygen-delivery efficiency proxy,0.0,-0.196,derived
d1_mbp_noninvasive_min,float64,Raw clinical measurement recorded on ICU day 1,1.61,-0.1939,raw
d1_diasbp_noninvasive_min,float64,Raw clinical measurement recorded on ICU day 1,1.13,-0.1786,raw
hr_variability,float64,HR_max − HR_min: heart-rate range as autonomic dysfunction proxy,0.0,0.1763,derived
temp_delta,float64,temp_max − temp_min: temperature variability as inflammatory instability marker,0.0,0.1755,derived
intubated_apache,float64,Raw clinical measurement recorded on ICU day 1,0.78,0.1717,raw
d1_heartrate_max,float64,Raw clinical measurement recorded on ICU day 1,0.0,0.1627,raw
temp_apache,float64,Raw clinical measurement recorded on ICU day 1,4.48,-0.1523,raw
shock_index_high,int32,Binary flag: shock index exceeds 1.0 — haemodynamic instability present,0.0,0.1519,derived
h1_sysbp_noninvasive_min,float64,Raw clinical measurement recorded on ICU day 1,8.0,-0.1441,raw
h1_mbp_noninvasive_min,float64,Raw clinical measurement recorded on ICU day 1,9.9,-0.1423,raw
bp_variability,float64,SBP_max − SBP_min: BP swing indicating vasopressor weaning difficulty,0.0,0.1347,derived
h1_diasbp_noninvasive_min,float64,Raw clinical measurement recorded on ICU day 1,8.01,-0.1273,raw
apache_3j_bodysystem,float64,Raw clinical measurement recorded on ICU day 1,0.0,0.1268,raw
apache_score_delta,float64,hospital_death_prob − icu_death_prob: post-ICU deterioration gap,8.67,0.1254,derived
h1_resprate_max,float64,Raw clinical measurement recorded on ICU day 1,0.0,0.1194,raw
h1_heartrate_max,float64,Raw clinical measurement recorded on ICU day 1,0.0,0.1121,raw
icu_admit_source,float64,Raw clinical measurement recorded on ICU day 1,0.0,0.1109,raw
apache_2_bodysystem,float64,Raw clinical measurement recorded on ICU day 1,0.0,0.1104,raw
h1_resprate_min,float64,Raw clinical measurement recorded on ICU day 1,0.0,0.1084,raw
age,float64,Raw clinical measurement recorded on ICU day 1,4.61,0.1083,raw
heart_rate_apache,float64,Raw clinical measurement recorded on ICU day 1,0.96,0.1073,raw
